"group" "subject" "activity" "place" "sensor" "axis" "activity_name" "mean"
"test" 2 1 "body" "acc" "x" "WALKING" -0.000236823526445975
"test" 4 1 "body" "acc" "x" "WALKING" 0.000207368155971354
"test" 9 1 "body" "acc" "x" "WALKING" 0.000191052807671274
"test" 10 1 "body" "acc" "x" "WALKING" 0.000205733081942806
"test" 12 1 "body" "acc" "x" "WALKING" -9.21391085156255e-05
"test" 13 1 "body" "acc" "x" "WALKING" -0.000348818591836623
"test" 18 1 "body" "acc" "x" "WALKING" -0.000760027319592634
"test" 20 1 "body" "acc" "x" "WALKING" -0.0010276069877451
"test" 24 1 "body" "acc" "x" "WALKING" -0.000122607251185345
"test" 2 1 "body" "acc" "y" "WALKING" -0.0007640919728125
"test" 4 1 "body" "acc" "y" "WALKING" 0.00120543976572526
"test" 9 1 "body" "acc" "y" "WALKING" -0.000498834800628005
"test" 10 1 "body" "acc" "y" "WALKING" 6.07405887662148e-05
"test" 12 1 "body" "acc" "y" "WALKING" 0.000827275840871875
"test" 13 1 "body" "acc" "y" "WALKING" -0.000748957699904057
"test" 18 1 "body" "acc" "y" "WALKING" -0.000348385608563058
"test" 20 1 "body" "acc" "y" "WALKING" -0.00213048636801471
"test" 24 1 "body" "acc" "y" "WALKING" -0.00283577161773653
"test" 2 1 "body" "acc" "z" "WALKING" 0.000927358610169756
"test" 4 1 "body" "acc" "z" "WALKING" -0.00102254446784505
"test" 9 1 "body" "acc" "z" "WALKING" -0.000830103153215144
"test" 10 1 "body" "acc" "z" "WALKING" -0.000247713736612618
"test" 12 1 "body" "acc" "z" "WALKING" 0.00170010802277187
"test" 13 1 "body" "acc" "z" "WALKING" -0.00103192277945998
"test" 18 1 "body" "acc" "z" "WALKING" 0.00135086865554827
"test" 20 1 "body" "acc" "z" "WALKING" -0.00172828794724265
"test" 24 1 "body" "acc" "z" "WALKING" -0.000755922770875539
"test" 2 1 "body" "gyro" "x" "WALKING" -0.0261456554122987
"test" 4 1 "body" "gyro" "x" "WALKING" -0.00425263819567708
"test" 9 1 "body" "gyro" "x" "WALKING" -0.0548277159004477
"test" 10 1 "body" "gyro" "x" "WALKING" 0.0395670549963738
"test" 12 1 "body" "gyro" "x" "WALKING" -0.0792475920826562
"test" 13 1 "body" "gyro" "x" "WALKING" 0.010575570404477
"test" 18 1 "body" "gyro" "x" "WALKING" -0.0126495858844866
"test" 20 1 "body" "gyro" "x" "WALKING" 0.00439814638143382
"test" 24 1 "body" "gyro" "x" "WALKING" -0.0276791369560937
"test" 2 1 "body" "gyro" "y" "WALKING" 0.0117845148574828
"test" 4 1 "body" "gyro" "y" "WALKING" 0.000744455540416667
"test" 9 1 "body" "gyro" "y" "WALKING" 0.00531838462992788
"test" 10 1 "body" "gyro" "y" "WALKING" -0.00343797976463738
"test" 12 1 "body" "gyro" "y" "WALKING" 0.0180192490122781
"test" 13 1 "body" "gyro" "y" "WALKING" -0.00248676045489857
"test" 18 1 "body" "gyro" "y" "WALKING" 0.0058543683048577
"test" 20 1 "body" "gyro" "y" "WALKING" 0.000105807922242647
"test" 24 1 "body" "gyro" "y" "WALKING" 0.00383580612878772
"test" 2 1 "body" "gyro" "z" "WALKING" -0.00154868120596663
"test" 4 1 "body" "gyro" "z" "WALKING" -0.00255156665798958
"test" 9 1 "body" "gyro" "z" "WALKING" 0.0111961964570613
"test" 10 1 "body" "gyro" "z" "WALKING" 0.00546013859215802
"test" 12 1 "body" "gyro" "z" "WALKING" 0.00603742439878125
"test" 13 1 "body" "gyro" "z" "WALKING" -0.0035018749915159
"test" 18 1 "body" "gyro" "z" "WALKING" 0.00360226082250684
"test" 20 1 "body" "gyro" "z" "WALKING" -0.000529692662239584
"test" 24 1 "body" "gyro" "z" "WALKING" 0.00480999790343831
"test" 2 1 "total" "acc" "x" "WALKING" 0.981170597153072
"test" 4 1 "total" "acc" "x" "WALKING" 1.01767012106771
"test" 9 1 "total" "acc" "x" "WALKING" 1.00907346835937
"test" 10 1 "total" "acc" "x" "WALKING" 1.01702665511498
"test" 12 1 "total" "acc" "x" "WALKING" 1.0194030086875
"test" 13 1 "total" "acc" "x" "WALKING" 0.979529870202851
"test" 18 1 "total" "acc" "x" "WALKING" 0.988319164090402
"test" 20 1 "total" "acc" "x" "WALKING" 0.971149185646446
"test" 24 1 "total" "acc" "x" "WALKING" 1.01430011880388
"test" 2 1 "total" "acc" "y" "WALKING" -0.328878587927701
"test" 4 1 "total" "acc" "y" "WALKING" -0.0664847311506146
"test" 9 1 "total" "acc" "y" "WALKING" -0.0138377601220132
"test" 10 1 "total" "acc" "y" "WALKING" -0.0656056597570165
"test" 12 1 "total" "acc" "y" "WALKING" -0.136903903354091
"test" 13 1 "total" "acc" "y" "WALKING" -0.265994305605948
"test" 18 1 "total" "acc" "y" "WALKING" -0.236289229975809
"test" 20 1 "total" "acc" "y" "WALKING" -0.328084534117371
"test" 24 1 "total" "acc" "y" "WALKING" -0.099751265826813
"test" 2 1 "total" "acc" "z" "WALKING" 0.0786663049567929
"test" 4 1 "total" "acc" "z" "WALKING" 0.11900994170319
"test" 9 1 "total" "acc" "z" "WALKING" -0.120209197610159
"test" 10 1 "total" "acc" "z" "WALKING" 0.0482065693653921
"test" 12 1 "total" "acc" "z" "WALKING" -0.0392852483374313
"test" 13 1 "total" "acc" "z" "WALKING" -0.135587818823191
"test" 18 1 "total" "acc" "z" "WALKING" -0.0640522971372489
"test" 20 1 "total" "acc" "z" "WALKING" -0.0417760522503462
"test" 24 1 "total" "acc" "z" "WALKING" -0.144756107169456
"train" 1 1 "body" "acc" "x" "WALKING" -5.04911990559208e-05
"train" 3 1 "body" "acc" "x" "WALKING" -0.000413872830590652
"train" 5 1 "body" "acc" "x" "WALKING" 5.49378844977676e-05
"train" 6 1 "body" "acc" "x" "WALKING" 0.00125361086125
"train" 7 1 "body" "acc" "x" "WALKING" -0.000408617679499726
"train" 8 1 "body" "acc" "x" "WALKING" -0.000595461750553385
"train" 11 1 "body" "acc" "x" "WALKING" -0.00118576233387977
"train" 14 1 "body" "acc" "x" "WALKING" -0.00115738359675742
"train" 15 1 "body" "acc" "x" "WALKING" -0.000757667256947338
"train" 16 1 "body" "acc" "x" "WALKING" -0.000319878514473039
"train" 17 1 "body" "acc" "x" "WALKING" -0.00107860869036885
"train" 19 1 "body" "acc" "x" "WALKING" -0.000751080395372596
"train" 21 1 "body" "acc" "x" "WALKING" 0.000331328701195913
"train" 22 1 "body" "acc" "x" "WALKING" 0.000265601642022758
"train" 23 1 "body" "acc" "x" "WALKING" -0.000899312020127118
"train" 25 1 "body" "acc" "x" "WALKING" 0.000292015385586993
"train" 26 1 "body" "acc" "x" "WALKING" 0.000348004589805455
"train" 27 1 "body" "acc" "x" "WALKING" -0.000149672883608827
"train" 28 1 "body" "acc" "x" "WALKING" 0.000752701339803241
"train" 29 1 "body" "acc" "x" "WALKING" -0.00114907430017659
"train" 30 1 "body" "acc" "x" "WALKING" -0.000240909416594952
"train" 1 1 "body" "acc" "y" "WALKING" -0.000128854135947369
"train" 3 1 "body" "acc" "y" "WALKING" -2.02621447764008e-05
"train" 5 1 "body" "acc" "y" "WALKING" -7.70382653041294e-05
"train" 6 1 "body" "acc" "y" "WALKING" 0.000127318237214912
"train" 7 1 "body" "acc" "y" "WALKING" -0.000794905071299342
"train" 8 1 "body" "acc" "y" "WALKING" -0.000799741181819661
"train" 11 1 "body" "acc" "y" "WALKING" 0.00025731045791446
"train" 14 1 "body" "acc" "y" "WALKING" -0.00243394117425847
"train" 15 1 "body" "acc" "y" "WALKING" 2.99913346643518e-05
"train" 16 1 "body" "acc" "y" "WALKING" -0.0017259296114568
"train" 17 1 "body" "acc" "y" "WALKING" -0.000707770505722336
"train" 19 1 "body" "acc" "y" "WALKING" -0.00106958837692308
"train" 21 1 "body" "acc" "y" "WALKING" -0.000536512911009615
"train" 22 1 "body" "acc" "y" "WALKING" 0.000218613557150136
"train" 23 1 "body" "acc" "y" "WALKING" -0.000641854839935116
"train" 25 1 "body" "acc" "y" "WALKING" -0.000791808649862753
"train" 26 1 "body" "acc" "y" "WALKING" 0.000898068456533369
"train" 27 1 "body" "acc" "y" "WALKING" 0.000257155793152412
"train" 28 1 "body" "acc" "y" "WALKING" 0.000766933217258681
"train" 29 1 "body" "acc" "y" "WALKING" 0.000444050024882076
"train" 30 1 "body" "acc" "y" "WALKING" -0.00023597005665625
"train" 1 1 "body" "acc" "z" "WALKING" -0.000938320109560033
"train" 3 1 "body" "acc" "z" "WALKING" -0.00144266983757813
"train" 5 1 "body" "acc" "z" "WALKING" 0.000186927531498326
"train" 6 1 "body" "acc" "z" "WALKING" -0.000659203091705044
"train" 7 1 "body" "acc" "z" "WALKING" -0.000860403936493969
"train" 8 1 "body" "acc" "z" "WALKING" 0.000348690187060547
"train" 11 1 "body" "acc" "z" "WALKING" 0.000730493451867055
"train" 14 1 "body" "acc" "z" "WALKING" 0.00051244763668697
"train" 15 1 "body" "acc" "z" "WALKING" 0.000226553781655382
"train" 16 1 "body" "acc" "z" "WALKING" -0.000163984418560049
"train" 17 1 "body" "acc" "z" "WALKING" -0.000490384847599897
"train" 19 1 "body" "acc" "z" "WALKING" -0.00476649391650541
"train" 21 1 "body" "acc" "z" "WALKING" 0.00131749951740385
"train" 22 1 "body" "acc" "z" "WALKING" 0.00039479901686481
"train" 23 1 "body" "acc" "z" "WALKING" -0.00167659521103824
"train" 25 1 "body" "acc" "z" "WALKING" -0.000142045032347973
"train" 26 1 "body" "acc" "z" "WALKING" -0.000204603757272246
"train" 27 1 "body" "acc" "z" "WALKING" -0.00149137185294682
"train" 28 1 "body" "acc" "z" "WALKING" 0.00151723197232639
"train" 29 1 "body" "acc" "z" "WALKING" 0.000553390141995873
"train" 30 1 "body" "acc" "z" "WALKING" 0.00319866433296875
"train" 1 1 "body" "gyro" "x" "WALKING" -0.014599858215148
"train" 3 1 "body" "gyro" "x" "WALKING" 0.00209813659221444
"train" 5 1 "body" "gyro" "x" "WALKING" -0.0218822389265346
"train" 6 1 "body" "gyro" "x" "WALKING" 0.00223314137040214
"train" 7 1 "body" "gyro" "x" "WALKING" 0.0309025443534814
"train" 8 1 "body" "gyro" "x" "WALKING" 0.0527882514470052
"train" 11 1 "body" "gyro" "x" "WALKING" -0.0154888148376192
"train" 14 1 "body" "gyro" "x" "WALKING" 0.0249569189685434
"train" 15 1 "body" "gyro" "x" "WALKING" -0.0286854263271991
"train" 16 1 "body" "gyro" "x" "WALKING" 0.0128946334378661
"train" 17 1 "body" "gyro" "x" "WALKING" 0.0190306804663292
"train" 19 1 "body" "gyro" "x" "WALKING" 0.000183357907902643
"train" 21 1 "body" "gyro" "x" "WALKING" -0.0188298073208984
"train" 22 1 "body" "gyro" "x" "WALKING" 0.0293439759727242
"train" 23 1 "body" "gyro" "x" "WALKING" -0.0365518319021345
"train" 25 1 "body" "gyro" "x" "WALKING" 0.0124219189608319
"train" 26 1 "body" "gyro" "x" "WALKING" 0.0250968631922934
